city,accommodation_type,name,price_per_night,rating,room_types,food_options,ambiance,extras,nearby_attractions,accessibility
Hyderabad,Hotel,Taj Falaknuma Palace,45000,4.9,Suite|Deluxe|Executive,Veg|Non-Veg|Continental|Indian|Mediterranean|À la carte,Luxury|Traditional|Romantic,WiFi|Parking|Pool|Spa|Gym|Palace Heritage|Event Hosting,Charminar|Golconda Fort,Wheelchair Support|Elevator Access
Hyderabad,Hotel,ITC Kakatiya,18000,4.7,Double|Deluxe|Executive,Veg|Non-Veg|Continental|Indian|Chinese|Buffet,Luxury|Modern,WiFi|Parking|Pool|Gym|Spa|Airport Pickup|Business Center,Hussain Sagar Lake|Birla Mandir,Wheelchair Support|Elevator Access
Hyderabad,Hotel,Hotel Green Park,7000,4.1,Single|Double|Deluxe,Veg|Non-Veg|Indian,Budget|Modern,WiFi|Parking|Restaurant,Charminar|Laad Bazaar,Elevator Access
Hyderabad,Hotel,Novotel Hyderabad,12000,4.6,Double|Deluxe|Suite,Veg|Non-Veg|Continental|Indian|Buffet,Luxury|Modern,WiFi|Parking|Pool|Gym|Airport Pickup,Hitech City|Inorbit Mall,Wheelchair Support|Elevator Access
Pune,Hotel,The Westin Pune,20000,4.7,Double|Deluxe|Executive|Suite,Veg|Non-Veg|Continental|Indian|Chinese|Buffet,Luxury|Modern,WiFi|Parking|Pool|Spa|Gym|Airport Pickup|Event Hosting,Koregaon Park|Aga Khan Palace,Wheelchair Support|Elevator Access
Pune,Hotel,JW Marriott Pune,22000,4.8,Deluxe|Suite|Executive,Veg|Non-Veg|Continental|Indian|À la carte,Luxury|Modern,WiFi|Parking|Pool|Spa|Gym|Rooftop Bar|Event Hosting,Shaniwar Wada|Phoenix Market City,Wheelchair Support|Elevator Access
Pune,Hostel,Backpackers Panda Pune,800,4.3,Dormitory|Double,Veg|Non-Veg|Indian|Continental,Budget|Modern,WiFi|Common Kitchen|Work Space|Game Room,FC Road|Deccan Gymkhana,Basic Access
Pune,Hotel,Hotel Sunderban,6000,4.0,Single|Double|Deluxe,Veg|Non-Veg|Indian,Budget|Traditional,WiFi|Parking|Restaurant,Shaniwar Wada|Dagdusheth Temple,Elevator Access
Chennai,Hotel,ITC Grand Chola,25000,4.8,Deluxe|Suite|Executive|View Room,Veg|Non-Veg|Vegan|Continental|Indian|Chinese|Mediterranean|Buffet|À la carte,Luxury|Modern,WiFi|Parking|Pool|Spa|Gym|Airport Pickup|Event Hosting,Marina Beach|Government Museum,Wheelchair Support|Elevator Access
Chennai,Hotel,Taj Coromandel,20000,4.7,Double|Deluxe|Suite,Veg|Non-Veg|Continental|Indian|Chinese|Buffet,Luxury|Modern,WiFi|Parking|Pool|Spa|Gym|Airport Pickup,Marina Beach|Kapaleeshwarar Temple,Wheelchair Support|Elevator Access
Chennai,Hostel,Backpackers Inn Chennai,700,4.2,Dormitory|Double,Veg|Non-Veg|Indian,Budget|Modern,WiFi|Common Area|Kitchen,Mahabalipuram|ECR Beach,Basic Access
Chennai,Hotel,Hotel Savera,5500,4.1,Single|Double|Deluxe,Veg|Non-Veg|Indian|Continental,Budget|Modern,WiFi|Parking|Restaurant,T Nagar|Mylapore,Elevator Access
Kolkata,Hotel,The Oberoi Grand,22000,4.8,Deluxe|Suite|Executive,Veg|Non-Veg|Continental|Indian|Chinese|À la carte,Luxury|Traditional|Romantic,WiFi|Parking|Pool|Spa|Gym|Heritage Property|Event Hosting,Victoria Memorial|Park Street,Wheelchair Support|Elevator Access
Kolkata,Hotel,ITC Sonar,18000,4.7,Double|Deluxe|Suite,Veg|Non-Veg|Continental|Indian|Bengali|Buffet,Luxury|Modern,WiFi|Parking|Pool|Spa|Gym|Airport Pickup|Golf Course,Science City|Eco Park,Wheelchair Support|Elevator Access
Kolkata,Hostel,Backpackers Hostel Kolkata,600,4.3,Dormitory|Double,Veg|Non-Veg|Bengali|Indian,Budget|Traditional,WiFi|Common Area|Cultural Events|Book Exchange,College Street|Indian Museum,Basic Access
Kolkata,Hotel,The Astor Hotel,8000,4.2,Single|Double|Deluxe,Veg|Non-Veg|Bengali|Indian|Continental,Budget|Traditional|Family-Friendly,WiFi|Parking|Restaurant|Heritage Property,Park Street|Maidan,Elevator Access
Shimla,Hotel,Wildflower Hall,35000,4.9,Deluxe|Suite|View Room,Veg|Non-Veg|Continental|Indian|À la carte,Luxury|Romantic|Eco-Friendly,WiFi|Parking|Pool|Spa|Gym|Mountain View|Nature Walks|Pet-Friendly,Mall Road|Jakhu Temple,Wheelchair Support|Elevator Access|Pet Facilities
Shimla,Hotel,The Oberoi Cecil,28000,4.8,Deluxe|Suite|Executive,Veg|Non-Veg|Continental|Indian|Buffet,Luxury|Traditional|Romantic,WiFi|Parking|Spa|Heritage Property|Mountain View,Mall Road|Christ Church,Wheelchair Support|Elevator Access
Shimla,Hostel,Zostel Shimla,1000,4.4,Dormitory|Double,Veg|Non-Veg|Indian,Budget|Modern,WiFi|Common Area|Valley View|Bonfire,Mall Road|The Ridge,Basic Access
Shimla,Hotel,Hotel Combermere,4500,4.1,Single|Double|Family,Veg|Non-Veg|Indian,Budget|Traditional,WiFi|Parking|Mountain View,Mall Road|Scandal Point,Elevator Access
Manali,Hotel,The Himalayan,32000,4.9,Deluxe|Suite|View Room,Veg|Non-Veg|Continental|Indian|Chinese|À la carte,Luxury|Romantic|Eco-Friendly,WiFi|Parking|Spa|Gym|Mountain View|Adventure Sports|Pet-Friendly,Solang Valley|Old Manali,Wheelchair Support|Elevator Access|Pet Facilities
Manali,Hotel,Manuallaya Resort,18000,4.7,Double|Deluxe|Suite,Veg|Non-Veg|Indian|Continental|Buffet,Luxury|Modern|Romantic,WiFi|Parking|Spa|Mountain View|River View,Hadimba Temple|Vashisht,Wheelchair Support|Elevator Access
Manali,Hostel,The Hosteller Manali,900,4.5,Dormitory|Double,Veg|Non-Veg|Indian|Continental,Budget|Modern|Party,WiFi|Common Area|Bonfire|Cafe|Adventure Activities,Old Manali|Manu Temple,Basic Access
Manali,Hotel,Hotel Snow Valley,5000,4.2,Single|Double|Family,Veg|Non-Veg|Indian,Budget|Modern|Family-Friendly,WiFi|Parking|Mountain View|Adventure Desk,Mall Road|Hadimba Temple,Elevator Access
